"","gene","sgrna_id","logFC","logCPM","LR","PValue","FDR"
"ENTPD8","ENTPD8","ENTPD8_-_140335773.23-P1P2|ENTPD8_+_140335721.23-P1P2",0.231930366213274,6.08390854757458,1.19007337494096,0.275314756193303,0.625307368445993
"DMKN","DMKN","DMKN_+_36001284.23-P1P2|DMKN_+_36001110.23-P1P2",-0.24948127906376,5.9662333901068,1.18945138272474,0.275440246820551,0.625432005121895
"DEFB118","DEFB118","DEFB118_+_29956420.23-P1P2|DEFB118_-_29956602.23-P1P2",0.243009556777483,5.95064338785822,1.1892081895991,0.27548933201685,0.625432005121895
"GRAMD3","GRAMD3","GRAMD3_+_125759113.23-P1P2|GRAMD3_+_125759134.23-P1P2",0.21706566804716,6.29174322869868,1.1888596631494,0.275559696459349,0.625447936981328
"NCAM1","NCAM1","NCAM1_+_112832255.23-P1P2|NCAM1_+_112832220.23-P1P2",0.443679231327634,5.27428251035156,1.18842072917803,0.275648345516115,0.625447936981328
"WLS","WLS","WLS_-_68698162.23-P1P2|WLS_+_68698180.23-P1P2",0.223334735408002,6.21900564660138,1.18789613139947,0.275754342624344,0.625447936981328
"TNK1","TNK1","TNK1_-_7284456.23-P1P2|TNK1_-_7284444.23-P1P2",0.219170266702683,6.33985708972638,1.18739275509755,0.275856100001092,0.625447936981328
"PLEKHG4","PLEKHG4","PLEKHG4_-_67313488.23-P1|PLEKHG4_+_67313471.23-P1",-0.237238625670811,6.05722307468703,1.18735022364569,0.275864699883695,0.625447936981328
"KRBA1","KRBA1","KRBA1_-_149412079.23-P1P2|KRBA1_+_149412067.23-P1P2",0.21415959239639,7.78361552105295,1.18722222427556,0.275890583458479,0.625447936981328
"CCNG2","CCNG2","CCNG2_-_78078464.23-P1P2|CCNG2_-_78078401.23-P1P2",-0.423586693515793,5.36543690040781,1.18709996076367,0.275915309998461,0.625447936981328
"FOXE1","FOXE1","FOXE1_+_100615569.23-P1P2|FOXE1_-_100615530.23-P1P2",0.249060267398812,5.83808870570889,1.18664826749247,0.276006684479429,0.625519378184783
