sgRNA	Gene	Low_1	Low_2	Low_3	High_1	High_2	High_3
ELANE_+_852365.23-P1P2|ELANE_+_852322.23-P1P2	ELANE	7590	4635	6978	4431	4804	5366
SLC1A2_+_35441071.23-P1P2|SLC1A2_-_35441035.23-P1P2	SLC1A2	2806	2087	3049	1809	1175	2824
TAF5L_-_229761813.23-P1P2|TAF5L_+_229761795.23-P1P2	TAF5L	1427	348	1547	233	286	534
non-targeting_03063|non-targeting_02055	negative_control	4083	1818	3145	2333	2594	3546
PIK3R2_-_18266386.23-P2|PIK3R2_-_18266377.23-P2	PIK3R2	5188	6013	6993	4128	4894	6691
MYOM3_+_24434877.23-P2|MYOM3_-_24434886.23-P2	MYOM3	7866	3502	8314	2903	5859	4553
NLRP7_+_55458789.23-P1|NLRP7_-_55458898.23-P1	NLRP7	2882	1196	2067	1329	1317	2127
non-targeting_00166|non-targeting_02207	negative_control	5129	3675	6112	3967	3472	5083
BCAN_+_156611934.23-P1P2|BCAN_-_156612006.23-P1P2	BCAN	7996	4085	8236	6087	4959	7113
SFMBT1_-_53080048.23-P1P2|SFMBT1_-_53079997.23-P1P2	SFMBT1	5432	10201	9236	6678	5593	8175
PBDC1_-_75392891.23-P1P2|PBDC1_-_75392965.23-P1P2	PBDC1	5012	4378	6601	4903	3297	5478
VWA8_-_42535213.23-P1P2|VWA8_-_42535200.23-P1P2	VWA8	6439	6054	6103	5423	5483	7008
OR5M1_-_56380537.23-ENST00000526538.1|OR5M1_+_56380522.23-ENST00000526538.1	OR5M1	2335	2066	2130	1414	1910	2193
MYL9_-_35169976.23-P1P2|MYL9_-_35169913.23-P1P2	MYL9	4447	3787	4243	3774	4659	4339
HBA2_-_222868.23-P2|HBA2_-_222872.23-P2	HBA2	29507	27320	33908	28546	24808	31843
FOXD4_+_118156.23-ENST00000382500.2|FOXD4_-_118168.23-ENST00000382500.2	FOXD4	5702	3431	6230	3174	3041	3903
non-targeting_02811|non-targeting_00414	negative_control	4015	4529	3804	3245	3946	4091
LRRC48_+_17876262.23-P1P2|LRRC48_-_17876217.23-P1P2	LRRC48	6246	2569	7182	3539	4382	4303
ZNF490_+_12721531.23-P1P2|ZNF490_+_12721537.23-P1P2	ZNF490	4089	4685	6105	3589	4171	4530
CCR10_+_40833835.23-P1P2|CCR10_+_40833622.23-P1P2	CCR10	6380	5301	8673	6316	6801	6041
GLRB_+_157997351.23-P1P2|GLRB_+_157997405.23-P1P2	GLRB	13850	17203	15169	12844	12474	17810
XPO5_+_43543679.23-P1P2|XPO5_-_43543686.23-P1P2	XPO5	4589	3548	4277	2827	3760	3969
HNRNPA1_-_54674507.23-P1P2|HNRNPA1_+_54674930.23-P1P2	HNRNPA1	5153	3275	2718	4818	2908	4585
ARSI_-_149682457.23-P1P2|ARSI_+_149682294.23-P1P2	ARSI	8721	6057	8877	5561	7568	6794
FAM21C_+_46222716.23-P1P2|FAM21C_-_46222731.23-P1P2	FAM21C	12252	5623	14508	6607	10452	6755
