sgRNA	Gene	Low_1	Low_2	Low_3	High_1	High_2	High_3
SIRPB1_-_1600604.23-P1P2|SIRPB1_-_1600658.23-P1P2	SIRPB1	2127.8779234743083	4482.613127523386	2021.721556633512	1619.8509783806883	2795.8260340497436	2773.109447876168
TOP2B_+_25706368.23-P1P2|TOP2B_+_25706350.23-P1P2	TOP2B	5537.329278738882	6252.175055240661	5282.305612876045	7183.837328320334	4869.316391482253	8431.751699623484
POLE3_+_116172606.23-P1P2|POLE3_+_116172595.23-P1P2	POLE3	3947.2461699140154	2052.193075303358	2476.927790402335	2626.3491307837776	3098.949041201619	3034.4697284798817
C16orf90_-_3545439.23-P1P2|C16orf90_-_3545435.23-P1P2	C16orf90	2495.106965020028	4996.960252725999	2576.578892365738	3806.9380289060728	1590.8583354070054	3817.5896869064504
DGKE_+_54911823.23-P1P2|DGKE_+_54911526.23-P1P2	DGKE	3805.574052363382	3701.2211312559803	5105.325255789042	5519.022514952566	4308.216356967079	3583.134141070766
COL4A1_+_110959470.23-P1P2|COL4A1_-_110959497.23-P1P2	COL4A1	1511.790622810043	2166.4924364594945	1442.1507476143624	2346.189851248897	1426.3979804629028	1808.3825297654014
LMAN1L_+_75105198.23-P1P2|LMAN1L_+_75105187.23-P1P2	LMAN1L	6721.037103010617	4807.846764267664	6594.5113235301305	4948.3276862704015	5290.678869508973	6677.178639394141
MCFD2_+_47142972.23-P1|MCFD2_+_47142860.23-P1	MCFD2	2487.650537780521	2954.118943335416	2920.973100751257	2084.4772732471774	2919.440026327991	2334.9466245111184
PATE1_+_125616210.23-P1P2|PATE1_-_125616321.23-P1P2	PATE1	4576.382218247418	4427.541617148157	4446.8307740148775	3363.0642732643896	6751.473786953649	4480.5992222614595
EVC_-_5712950.23-P1P2|EVC_-_5712981.23-P1P2	EVC	175.22604012841435	0.0	1.5944176314144416	1.1529188458225539	0.0	0.0
"IL25_+_23842095.23-ENST00000329715.2,ENST00000397242.2|IL25_+_23842106.23-ENST00000329715.2,ENST00000397242.2"	IL25	5591.388376225307	6255.292310544919	7633.274410396639	7613.8760578121455	6104.381409984043	7478.555382127587
GOSR1_-_28804478.23-P1P2|GOSR1_-_28804457.23-P1P2	GOSR1	1927.486441412558	6971.221945422901	1081.8123629146987	6080.493992868149	1390.9261392004491	6393.71804094526
EME2_-_1823220.23-P1P2|EME2_-_1823252.23-P1P2	EME2	2051.449544269362	4357.922915353055	1670.9496777223349	3390.734325564131	2210.003201078921	3556.2294063027366
RNF25_+_219529454.23-P2|RNF25_-_219529445.23-P2	RNF25	2391.6490370718684	3341.6976861648604	2578.970518812859	3119.7983967958307	4047.01461676174	3401.527181386568
